feature,dtype,missing_values,min,max,mean,same_dimension_proof
frames_sampled,int64,0,2.0,120.0,11.766599597585513,one scalar value per video
video_fps,float64,0,23.98,120.0,31.20682092555332,one scalar value per video
video_duration_seconds,float64,0,1.97,120.12,11.561629778672032,one scalar value per video
edge_texture_feature_001,float64,0,0.023724707,4.880410671,0.7513015374969819,one scalar value per video
edge_texture_feature_002,float64,0,0.04429793,6.504568577,1.7805098625633802,one scalar value per video
edge_texture_feature_003,float64,0,0.029736524,5.209263802,1.3352314157323943,one scalar value per video
edge_texture_feature_004,float64,0,0.018340524,3.35230875,0.87618076283501,one scalar value per video
edge_texture_feature_005,float64,0,0.015718278,3.461720228,0.800921142806841,one scalar value per video
edge_texture_feature_006,float64,0,0.000192979,2.798096657,0.6922902745110664,one scalar value per video
edge_texture_feature_007,float64,0,0.000498129,3.232882023,0.7298009689859154,one scalar value per video
edge_texture_feature_008,float64,0,0.0,6.947208881,0.872189436641851,one scalar value per video
edge_texture_feature_009,float64,0,0.00484348,3.299446583,0.6132506053983903,one scalar value per video
edge_texture_feature_010,float64,0,0.000839331,4.27003479,1.0639077990462777,one scalar value per video
edge_texture_feature_011,float64,0,0.007431303,3.002078533,0.8347853257464788,one scalar value per video
edge_texture_feature_012,float64,0,0.003951072,3.002378702,0.7016088027082494,one scalar value per video
edge_texture_feature_013,float64,0,0.008409925,2.468449116,0.5553680201006037,one scalar value per video
edge_texture_feature_014,float64,0,0.007796218,3.012549162,0.7055283669657947,one scalar value per video
edge_texture_feature_015,float64,0,0.009518188,3.057727814,0.6817073268591549,one scalar value per video
edge_texture_feature_016,float64,0,0.000798891,10.33057213,1.1697881395251508,one scalar value per video
edge_texture_feature_017,float64,0,0.002348299,4.473435402,0.8115940579839035,one scalar value per video
edge_texture_feature_018,float64,0,0.001621613,4.713519096,0.959205585780684,one scalar value per video
edge_texture_feature_019,float64,0,0.000529607,3.054401636,0.6716018115714286,one scalar value per video
edge_texture_feature_020,float64,0,0.001877331,5.922736168,0.933402686028169,one scalar value per video
edge_texture_feature_021,float64,0,0.001946225,2.777055025,0.4498178156981891,one scalar value per video
edge_texture_feature_022,float64,0,0.006004658,3.529726744,0.8775712791227365,one scalar value per video
edge_texture_feature_023,float64,0,0.000437838,3.102561235,0.9967693059899397,one scalar value per video
edge_texture_feature_024,float64,0,0.141081437,6.184979439,2.0824624208732394,one scalar value per video
edge_texture_feature_025,float64,0,0.000476056,3.690805197,0.6224442563018109,one scalar value per video
edge_texture_feature_026,float64,0,0.00091358,4.705402374,0.7541258722173039,one scalar value per video
edge_texture_feature_027,float64,0,0.001355324,3.663883209,0.5882907972957746,one scalar value per video
edge_texture_feature_028,float64,0,0.0,4.623022556,1.037423167668008,one scalar value per video
edge_texture_feature_029,float64,0,0.001221988,2.927849531,0.3766892473299798,one scalar value per video
edge_texture_feature_030,float64,0,0.030270539,5.112310886,0.9880680196519115,one scalar value per video
edge_texture_feature_031,float64,0,0.0,3.151569843,0.9107493819074446,one scalar value per video
edge_texture_feature_032,float64,0,0.001753176,3.152934313,0.668628911197183,one scalar value per video
edge_texture_feature_033,float64,0,0.0,6.11380434,0.8319311739456742,one scalar value per video
edge_texture_feature_034,float64,0,0.002156677,2.854333639,0.68742809671831,one scalar value per video
edge_texture_feature_035,float64,0,0.0,3.250936031,0.9657300733802816,one scalar value per video
edge_texture_feature_036,float64,0,0.0,2.595231295,0.6427547781891348,one scalar value per video
edge_texture_feature_037,float64,0,0.001909259,5.595250607,1.654187748921529,one scalar value per video
edge_texture_feature_038,float64,0,0.007222513,3.344401836,0.769493312416499,one scalar value per video
edge_texture_feature_039,float64,0,0.014748861,5.581142426,0.9043515941207243,one scalar value per video
edge_texture_feature_040,float64,0,0.003611436,5.583074093,0.9147077990503018,one scalar value per video
edge_texture_feature_041,float64,0,0.01066186,2.626382113,0.6680626227384306,one scalar value per video
edge_texture_feature_042,float64,0,0.01502618,4.228028774,0.9354549000301812,one scalar value per video
edge_texture_feature_043,float64,0,0.005581315,2.597298622,0.7519605981227365,one scalar value per video
edge_texture_feature_044,float64,0,0.005635393,2.946874619,0.6534310744849094,one scalar value per video
edge_texture_feature_045,float64,0,0.0,5.525832176,0.9171935630160966,one scalar value per video
edge_texture_feature_046,float64,0,0.010280969,3.090147018,0.8421124375855131,one scalar value per video
edge_texture_feature_047,float64,0,0.002496203,3.507187366,0.6224506353179075,one scalar value per video
edge_texture_feature_048,float64,0,0.0,4.849976063,0.9309513655613681,one scalar value per video
edge_texture_feature_049,float64,0,0.010026267,3.971078396,0.8547177593380283,one scalar value per video
edge_texture_feature_050,float64,0,0.0,4.216264725,0.5299702807364185,one scalar value per video
edge_texture_feature_051,float64,0,0.000517328,3.695912838,0.9892088111146881,one scalar value per video
edge_texture_feature_052,float64,0,0.064011596,4.497531891,1.0879755973460765,one scalar value per video
edge_texture_feature_053,float64,0,0.006108068,4.346609116,0.7879457643078471,one scalar value per video
edge_texture_feature_054,float64,0,0.0108453,3.208419561,0.7860880825573441,one scalar value per video
edge_texture_feature_055,float64,0,0.004002855,3.378259897,0.6738123554486921,one scalar value per video
edge_texture_feature_056,float64,0,0.016475154,2.707340002,0.9255846865553319,one scalar value per video
edge_texture_feature_057,float64,0,0.013698803,5.499367237,1.292433166692153,one scalar value per video
edge_texture_feature_058,float64,0,0.00089911,4.463186741,0.6944218838913482,one scalar value per video
edge_texture_feature_059,float64,0,0.021389235,3.879307985,1.154383342414487,one scalar value per video
edge_texture_feature_060,float64,0,0.001495598,3.969548702,0.7909969680482897,one scalar value per video
edge_texture_feature_061,float64,0,0.000180697,2.602235079,0.4327112885130785,one scalar value per video
edge_texture_feature_062,float64,0,0.0,8.726237297,0.5918165778209256,one scalar value per video
edge_texture_feature_063,float64,0,0.000423197,3.630015373,1.1289996848853119,one scalar value per video
edge_texture_feature_064,float64,0,0.013315955,2.3958745,0.6843833737283703,one scalar value per video
edge_texture_feature_065,float64,0,0.005790684,2.659199953,0.7321504460583501,one scalar value per video
edge_texture_feature_066,float64,0,0.014816443,4.474120617,0.9076845466619718,one scalar value per video
edge_texture_feature_067,float64,0,0.002262359,5.189990997,1.3867373660382296,one scalar value per video
edge_texture_feature_068,float64,0,0.000153219,6.655864239,0.5915530823722334,one scalar value per video
edge_texture_feature_069,float64,0,0.018817972,5.750833511,0.8740767985130785,one scalar value per video
edge_texture_feature_070,float64,0,0.010286517,2.483411312,0.599410997358149,one scalar value per video
edge_texture_feature_071,float64,0,0.00296624,2.365153551,0.6380954468551309,one scalar value per video
edge_texture_feature_072,float64,0,0.010512944,3.427264929,0.8003743638108652,one scalar value per video
edge_texture_feature_073,float64,0,0.02945089,4.108468533,0.8833596033501007,one scalar value per video
edge_texture_feature_074,float64,0,0.0,3.107222795,0.49425046612474843,one scalar value per video
edge_texture_feature_075,float64,0,0.000851391,3.282737017,0.7087241168752515,one scalar value per video
edge_texture_feature_076,float64,0,0.001969868,4.028753281,1.0012448070724347,one scalar value per video
edge_texture_feature_077,float64,0,0.009098658,5.123303413,0.5676085943863179,one scalar value per video
edge_texture_feature_078,float64,0,5.12e-05,2.727983236,0.777153525386318,one scalar value per video
edge_texture_feature_079,float64,0,0.004919486,3.421048641,0.5142472593561367,one scalar value per video
edge_texture_feature_080,float64,0,0.022092748,4.724902153,0.9355478436317908,one scalar value per video
edge_texture_feature_081,float64,0,0.000482095,2.648182154,0.6308884931287727,one scalar value per video
edge_texture_feature_082,float64,0,0.012207601,4.208994865,1.244861427080483,one scalar value per video
edge_texture_feature_083,float64,0,0.051714759,3.271614075,0.8431502851468813,one scalar value per video
edge_texture_feature_084,float64,0,0.000153688,5.700393677,1.3368292198350098,one scalar value per video
edge_texture_feature_085,float64,0,0.007979315,3.301349878,0.8882323156841045,one scalar value per video
edge_texture_feature_086,float64,0,0.013567398,3.824284315,0.7724121601730383,one scalar value per video
edge_texture_feature_087,float64,0,0.002210368,2.689086437,0.4953202046800805,one scalar value per video
edge_texture_feature_088,float64,0,0.0116403,2.748875618,0.6344935284245473,one scalar value per video
edge_texture_feature_089,float64,0,0.001462507,5.985838413,1.5784849118410464,one scalar value per video
edge_texture_feature_090,float64,0,0.004042818,6.07973671,1.1966485978350099,one scalar value per video
edge_texture_feature_091,float64,0,0.011349819,3.750933886,0.7225247688169014,one scalar value per video
edge_texture_feature_092,float64,0,0.004087914,3.127080679,0.6711135845231389,one scalar value per video
edge_texture_feature_093,float64,0,0.005807654,3.119531155,0.8225901692032194,one scalar value per video
edge_texture_feature_094,float64,0,0.0,5.003743649,0.6630627985653924,one scalar value per video
edge_texture_feature_095,float64,0,0.004801794,5.715932846,0.8573360681146882,one scalar value per video
edge_texture_feature_096,float64,0,0.002744663,3.483183861,0.5866611422676057,one scalar value per video
edge_texture_feature_097,float64,0,0.011117063,3.575001955,1.0523898457545273,one scalar value per video
edge_texture_feature_098,float64,0,0.001277981,6.458817482,1.570188462885312,one scalar value per video
edge_texture_feature_099,float64,0,0.003654829,3.448894024,0.8451432876398389,one scalar value per video
edge_texture_feature_100,float64,0,0.009491542,3.554135323,0.8458147411368209,one scalar value per video
edge_texture_feature_101,float64,0,0.00274878,4.665861607,0.5467373729094567,one scalar value per video
edge_texture_feature_102,float64,0,0.004090299,4.94422245,0.8532833262535212,one scalar value per video
edge_texture_feature_103,float64,0,0.009191805,3.2545681,0.9746910296800806,one scalar value per video
edge_texture_feature_104,float64,0,5.51e-05,4.691459179,0.7968873908249496,one scalar value per video
edge_texture_feature_105,float64,0,0.012590763,2.94953084,0.8425270204104628,one scalar value per video
edge_texture_feature_106,float64,0,0.006529011,3.477648973,0.832386134360161,one scalar value per video
edge_texture_feature_107,float64,0,0.0,3.390494585,0.642076189696177,one scalar value per video
edge_texture_feature_108,float64,0,0.000189852,3.104649544,0.5242038490643864,one scalar value per video
edge_texture_feature_109,float64,0,0.010380372,3.139220476,0.8488313506981892,one scalar value per video
edge_texture_feature_110,float64,0,0.010703155,3.979176283,1.0980744295311873,one scalar value per video
edge_texture_feature_111,float64,0,0.007741473,4.966222286,1.4224471581448692,one scalar value per video
edge_texture_feature_112,float64,0,0.049114034,7.022381783,1.0457550222957748,one scalar value per video
edge_texture_feature_113,float64,0,0.009451194,4.695917606,1.025759769863179,one scalar value per video
edge_texture_feature_114,float64,0,0.00011777,4.484256268,1.1228312127967808,one scalar value per video
edge_texture_feature_115,float64,0,0.0,5.260072231,1.2301450028732392,one scalar value per video
edge_texture_feature_116,float64,0,0.0,5.025172234,1.261396847002012,one scalar value per video
edge_texture_feature_117,float64,0,0.000226589,4.790462971,1.1304673264084508,one scalar value per video
edge_texture_feature_118,float64,0,0.0,3.516513824,0.6345030549798792,one scalar value per video
edge_texture_feature_119,float64,0,0.000271749,3.29033637,0.5903830195150905,one scalar value per video
edge_texture_feature_120,float64,0,0.013461092,3.090260267,0.7045469755110664,one scalar value per video
edge_texture_feature_121,float64,0,0.013532887,4.093518734,0.7647703113762576,one scalar value per video
edge_texture_feature_122,float64,0,0.0,3.925490618,1.0705646780905433,one scalar value per video
edge_texture_feature_123,float64,0,0.005364359,3.783831358,0.7955175613983904,one scalar value per video
edge_texture_feature_124,float64,0,0.015228944,3.855314016,0.8908809772454728,one scalar value per video
edge_texture_feature_125,float64,0,0.002085144,4.08634901,0.7646520249698189,one scalar value per video
edge_texture_feature_126,float64,0,0.001970282,4.233604908,0.7356130201468813,one scalar value per video
edge_texture_feature_127,float64,0,0.012283508,3.18235898,0.7742811488993963,one scalar value per video
edge_texture_feature_128,float64,0,0.009868773,3.48732543,0.9235994244305835,one scalar value per video
object_body_feature_001,float64,0,0.000117896,3.440901995,0.8388806277625754,one scalar value per video
object_body_feature_002,float64,0,0.0,2.472504139,0.681536229249497,one scalar value per video
object_body_feature_003,float64,0,0.002574645,3.440599442,0.8358584659879276,one scalar value per video
object_body_feature_004,float64,0,0.018290944,4.181233406,0.8143877455955735,one scalar value per video
object_body_feature_005,float64,0,0.0,2.775928974,0.6302343083460764,one scalar value per video
object_body_feature_006,float64,0,0.005865666,2.97071147,0.7313177770020121,one scalar value per video
object_body_feature_007,float64,0,0.000948553,6.365112305,1.075371550334004,one scalar value per video
object_body_feature_008,float64,0,0.004696979,6.405049801,1.3290481539315895,one scalar value per video
object_body_feature_009,float64,0,0.002809533,2.167910814,0.4087017085030181,one scalar value per video
object_body_feature_010,float64,0,0.005865945,2.909917831,0.7909691302173038,one scalar value per video
object_body_feature_011,float64,0,0.006933359,3.298983574,0.7957284565432595,one scalar value per video
object_body_feature_012,float64,0,0.000169375,3.130718231,0.5303168832293762,one scalar value per video
object_body_feature_013,float64,0,0.000319658,3.100284576,0.730577697832998,one scalar value per video
object_body_feature_014,float64,0,0.003627072,4.011006355,0.582831718219316,one scalar value per video
object_body_feature_015,float64,0,0.0,4.086383343,0.9162635293521127,one scalar value per video
object_body_feature_016,float64,0,0.014068807,4.117124081,1.0311614438490946,one scalar value per video
object_body_feature_017,float64,0,0.005327261,2.736405134,0.8002172043018109,one scalar value per video
object_body_feature_018,float64,0,0.003055071,3.602039814,0.7506411919195172,one scalar value per video
object_body_feature_019,float64,0,0.001695173,2.093830109,0.49743284097786716,one scalar value per video
object_body_feature_020,float64,0,0.007917813,4.340559959,0.8828129457625754,one scalar value per video
object_body_feature_021,float64,0,0.006843762,3.153838158,0.7128675436680081,one scalar value per video
object_body_feature_022,float64,0,0.008289914,8.018185616,1.1677614970120724,one scalar value per video
object_body_feature_023,float64,0,0.023091871,2.936194658,0.9471942582374245,one scalar value per video
object_body_feature_024,float64,0,0.005391669,2.700262785,0.7418976357484909,one scalar value per video
object_body_feature_025,float64,0,0.0098247,3.937074184,1.084112363887324,one scalar value per video
object_body_feature_026,float64,0,0.000611672,2.924162149,0.565181551162978,one scalar value per video
object_body_feature_027,float64,0,0.009693179,6.525222778,1.0985148059859156,one scalar value per video
object_body_feature_028,float64,0,0.004143897,2.638816118,0.5518304437444667,one scalar value per video
object_body_feature_029,float64,0,0.010212723,2.775117636,0.7925275649074447,one scalar value per video
object_body_feature_030,float64,0,0.018576674,4.055199146,0.844733452110664,one scalar value per video
object_body_feature_031,float64,0,0.00284262,2.151266098,0.4627725512535211,one scalar value per video
object_body_feature_032,float64,0,0.00384194,2.79713583,0.7673343464688129,one scalar value per video
object_body_feature_033,float64,0,0.015067691,6.094946861,1.3386907767344063,one scalar value per video
object_body_feature_034,float64,0,0.000814358,3.903680086,0.7388303654486922,one scalar value per video
object_body_feature_035,float64,0,0.008410141,2.43057704,0.6978529608370222,one scalar value per video
object_body_feature_036,float64,0,0.004699096,6.001906872,2.0838467335392354,one scalar value per video
object_body_feature_037,float64,0,7.89e-05,4.438265324,0.8053807748450704,one scalar value per video
object_body_feature_038,float64,0,0.011751178,3.581794739,0.6264867122273641,one scalar value per video
object_body_feature_039,float64,0,0.005555172,5.341223717,0.9237966375553319,one scalar value per video
object_body_feature_040,float64,0,0.002931358,3.025476933,0.6187187727263581,one scalar value per video
object_body_feature_041,float64,0,0.007170033,5.106153011,0.9272570161730381,one scalar value per video
object_body_feature_042,float64,0,0.000270183,6.163387775,0.6161719190080484,one scalar value per video
object_body_feature_043,float64,0,0.010464067,2.871532917,0.7733518438450705,one scalar value per video
object_body_feature_044,float64,0,0.001469911,3.336493492,0.5546944048350101,one scalar value per video
object_body_feature_045,float64,0,0.000687819,3.297491789,0.9083926807545271,one scalar value per video
object_body_feature_046,float64,0,6.03e-05,2.083856821,0.4208752840945674,one scalar value per video
object_body_feature_047,float64,0,0.041698974,5.164444923,1.3273878311851106,one scalar value per video
object_body_feature_048,float64,0,0.00138661,3.753938198,1.174285676199195,one scalar value per video
object_body_feature_049,float64,0,0.0,4.261271954,0.8525526661629779,one scalar value per video
object_body_feature_050,float64,0,0.000516948,3.113632679,0.7634552281187122,one scalar value per video
object_body_feature_051,float64,0,0.000733184,4.038162231,0.6688576940523139,one scalar value per video
object_body_feature_052,float64,0,0.0,2.632237673,0.5357977471750504,one scalar value per video
object_body_feature_053,float64,0,3.35e-05,3.062101841,0.4722893616639839,one scalar value per video
object_body_feature_054,float64,0,6.78e-06,3.474581957,0.7199393043722333,one scalar value per video
object_body_feature_055,float64,0,0.002369683,5.87012434,1.2931730219496982,one scalar value per video
object_body_feature_056,float64,0,0.034663796,4.006977081,1.1105317899919516,one scalar value per video
object_body_feature_057,float64,0,0.015010994,6.124081612,1.672917262770624,one scalar value per video
object_body_feature_058,float64,0,0.000341512,2.644613504,0.5825755894929578,one scalar value per video
object_body_feature_059,float64,0,0.000646963,3.197848082,0.6808350778189135,one scalar value per video
object_body_feature_060,float64,0,0.006222052,3.160387278,0.8087011355150905,one scalar value per video
object_body_feature_061,float64,0,0.001802697,6.307407856,0.5963511495553319,one scalar value per video
object_body_feature_062,float64,0,0.025591183,3.391541004,0.8728939105432595,one scalar value per video
object_body_feature_063,float64,0,0.0162958,4.518576145,0.9510258571026157,one scalar value per video
object_body_feature_064,float64,0,0.0,3.50777483,0.48085442878873236,one scalar value per video
object_body_feature_065,float64,0,9.21e-05,5.690141201,1.3270163798289736,one scalar value per video
object_body_feature_066,float64,0,0.007554769,4.401852608,1.2538388697183098,one scalar value per video
object_body_feature_067,float64,0,0.011550268,5.023087502,1.260646697299799,one scalar value per video
object_body_feature_068,float64,0,0.006544975,5.189657211,0.8410525198028169,one scalar value per video
object_body_feature_069,float64,0,0.0,2.984893799,0.750006333442656,one scalar value per video
object_body_feature_070,float64,0,0.034023039,6.489728451,0.9418262473641852,one scalar value per video
object_body_feature_071,float64,0,0.0,5.547128201,0.8658625050362173,one scalar value per video
object_body_feature_072,float64,0,0.00864925,5.978364944,1.5911670002575453,one scalar value per video
object_body_feature_073,float64,0,0.000699001,4.336915016,0.774157194808853,one scalar value per video
object_body_feature_074,float64,0,0.013998216,6.257559776,1.196256494551308,one scalar value per video
object_body_feature_075,float64,0,0.004088952,4.085866451,0.6032229368108653,one scalar value per video
object_body_feature_076,float64,0,0.005124245,2.732249498,0.6573755155492957,one scalar value per video
object_body_feature_077,float64,0,0.010689043,5.102921963,0.7562027587062374,one scalar value per video
object_body_feature_078,float64,0,0.006630178,5.181518555,0.9847949854225353,one scalar value per video
object_body_feature_079,float64,0,0.003203336,3.250066042,0.72752560577666,one scalar value per video
object_body_feature_080,float64,0,0.004840235,3.451489449,0.852316361583501,one scalar value per video
object_body_feature_081,float64,0,0.013233571,3.101226091,0.6074576177686116,one scalar value per video
object_body_feature_082,float64,0,0.003310972,3.438127995,0.7111629780422535,one scalar value per video
object_body_feature_083,float64,0,0.0,2.107116699,0.5183651968752514,one scalar value per video
object_body_feature_084,float64,0,0.0,2.99386549,0.676574178503018,one scalar value per video
object_body_feature_085,float64,0,0.017672997,6.072392464,0.9124673922072435,one scalar value per video
object_body_feature_086,float64,0,0.028762866,5.320465088,1.2643276833742456,one scalar value per video
object_body_feature_087,float64,0,0.00364681,3.887844563,0.7904136385452716,one scalar value per video
object_body_feature_088,float64,0,0.013346095,2.805779934,0.5708232284386318,one scalar value per video
object_body_feature_089,float64,0,0.011490732,6.248889923,0.8904400099718309,one scalar value per video
object_body_feature_090,float64,0,0.002878914,3.008316517,0.7360367942977867,one scalar value per video
object_body_feature_091,float64,0,0.013401587,2.649885654,0.6470349178128773,one scalar value per video
object_body_feature_092,float64,0,0.005393582,3.602749348,0.7816548634044266,one scalar value per video
object_body_feature_093,float64,0,0.005355552,3.385917425,0.7267497363299799,one scalar value per video
object_body_feature_094,float64,0,0.0,3.927354813,0.7601200500160965,one scalar value per video
object_body_feature_095,float64,0,0.001420827,2.873617172,0.6692715601348089,one scalar value per video
object_body_feature_096,float64,0,0.013764748,4.110304832,0.8242106949778673,one scalar value per video
object_body_feature_097,float64,0,0.0,4.535918236,0.8107128432535212,one scalar value per video
object_body_feature_098,float64,0,0.007248989,3.136684895,0.6182592650482898,one scalar value per video
object_body_feature_099,float64,0,0.044720314,4.30256319,1.55781596205835,one scalar value per video
object_body_feature_100,float64,0,0.004476338,4.653224945,0.6760929346237425,one scalar value per video
object_body_feature_101,float64,0,0.001311429,3.144696474,0.45482359368611663,one scalar value per video
object_body_feature_102,float64,0,0.014773694,3.660861492,0.8591970259778673,one scalar value per video
object_body_feature_103,float64,0,0.002250866,2.783654213,0.72615593461167,one scalar value per video
object_body_feature_104,float64,0,0.000388817,3.442586422,0.9501425918873239,one scalar value per video
object_body_feature_105,float64,0,0.025737204,3.983282804,1.0588243687022132,one scalar value per video
object_body_feature_106,float64,0,0.0,4.695005894,0.5337516033722334,one scalar value per video
object_body_feature_107,float64,0,0.010974928,7.126363277,1.1021321492354126,one scalar value per video
object_body_feature_108,float64,0,0.003187314,2.990236521,0.6402962235412474,one scalar value per video
object_body_feature_109,float64,0,0.013165655,4.390052795,0.8634553900623742,one scalar value per video
object_body_feature_110,float64,0,0.0015036,2.600896597,0.5798281048309859,one scalar value per video
object_body_feature_111,float64,0,0.0,3.111391306,0.6431392527686117,one scalar value per video
object_body_feature_112,float64,0,0.006518955,4.195170403,0.7159288579577465,one scalar value per video
object_body_feature_113,float64,0,0.00726487,3.06539011,0.7058761883078472,one scalar value per video
object_body_feature_114,float64,0,0.010472469,3.873661757,0.8056533109818913,one scalar value per video
object_body_feature_115,float64,0,0.016204655,3.282926559,0.7426763398792757,one scalar value per video
object_body_feature_116,float64,0,0.00317636,2.770136833,0.5769893480100604,one scalar value per video
object_body_feature_117,float64,0,0.003103655,4.190239429,0.8211742306800804,one scalar value per video
object_body_feature_118,float64,0,2.15e-05,2.765889406,0.5890511625271629,one scalar value per video
object_body_feature_119,float64,0,0.001355669,3.927658319,0.8026852179315895,one scalar value per video
object_body_feature_120,float64,0,0.0,2.477517605,0.4773898129476861,one scalar value per video
object_body_feature_121,float64,0,0.00862685,3.296198606,0.9232919767283702,one scalar value per video
object_body_feature_122,float64,0,0.001027259,3.538678169,0.6568446162635814,one scalar value per video
object_body_feature_123,float64,0,0.009225426,4.354421616,0.8009012874346076,one scalar value per video
object_body_feature_124,float64,0,0.001510542,4.220389366,0.5985162221549296,one scalar value per video
object_body_feature_125,float64,0,0.0,2.479445457,0.5734639131730384,one scalar value per video
object_body_feature_126,float64,0,0.002595641,3.19499898,0.7359355765955734,one scalar value per video
object_body_feature_127,float64,0,0.001493828,4.283979893,1.1443963291287726,one scalar value per video
object_body_feature_128,float64,0,0.005071838,2.796795368,0.7329028931026157,one scalar value per video
scene_activity_feature_001,float64,0,0.029915849,3.034044266,0.9488214427686116,one scalar value per video
scene_activity_feature_002,float64,0,0.0,2.856513739,0.7377286171991952,one scalar value per video
scene_activity_feature_003,float64,0,0.037887495,5.393530846,1.1932039419698188,one scalar value per video
scene_activity_feature_004,float64,0,0.011854736,4.248735905,0.8028523129356137,one scalar value per video
scene_activity_feature_005,float64,0,0.0,4.901804924,0.8613645354386318,one scalar value per video
scene_activity_feature_006,float64,0,0.006851353,4.134917259,0.883881127750503,one scalar value per video
scene_activity_feature_007,float64,0,0.07502085,5.334424019,1.1105306707605633,one scalar value per video
scene_activity_feature_008,float64,0,0.002589931,3.150963545,0.5513404387746479,one scalar value per video
scene_activity_feature_009,float64,0,0.0,1.697934747,0.39291945761167,one scalar value per video
scene_activity_feature_010,float64,0,0.044071149,3.858136892,0.9080691983762574,one scalar value per video
scene_activity_feature_011,float64,0,0.004355844,2.248154163,0.5961628130684105,one scalar value per video
scene_activity_feature_012,float64,0,0.001851724,4.210229874,0.8767279306740443,one scalar value per video
scene_activity_feature_013,float64,0,0.0046901,8.732759476,1.313360570024145,one scalar value per video
scene_activity_feature_014,float64,0,0.00055798,3.183349609,0.7670324445211268,one scalar value per video
scene_activity_feature_015,float64,0,0.022116911,5.102246761,0.9916986895030181,one scalar value per video
scene_activity_feature_016,float64,0,5.57e-05,2.56755805,0.5007380270985916,one scalar value per video
scene_activity_feature_017,float64,0,0.00960266,5.001271725,0.967101218028169,one scalar value per video
scene_activity_feature_018,float64,0,0.005694402,5.557253361,1.0949105597967808,one scalar value per video
scene_activity_feature_019,float64,0,0.00987126,3.000571251,0.716129286748491,one scalar value per video
scene_activity_feature_020,float64,0,0.013030458,4.350776672,1.3232188426559355,one scalar value per video
scene_activity_feature_021,float64,0,0.022558756,4.35400486,1.0779004815452715,one scalar value per video
scene_activity_feature_022,float64,0,0.00441601,3.360372543,0.9406593267102615,one scalar value per video
scene_activity_feature_023,float64,0,0.008326723,3.22854948,0.7661546065050301,one scalar value per video
scene_activity_feature_024,float64,0,0.002833442,2.621853352,0.7500875007706238,one scalar value per video
scene_activity_feature_025,float64,0,0.002688146,3.445792437,0.6290470480261571,one scalar value per video
scene_activity_feature_026,float64,0,0.001921586,4.89814806,0.8433485063843058,one scalar value per video
scene_activity_feature_027,float64,0,0.022513505,4.058391571,1.0277038604527162,one scalar value per video
scene_activity_feature_028,float64,0,0.000169059,4.220985889,0.8064136711770623,one scalar value per video
scene_activity_feature_029,float64,0,0.009624155,4.553459167,0.7999935937323943,one scalar value per video
scene_activity_feature_030,float64,0,0.002569574,3.008507013,0.5283434438068411,one scalar value per video
scene_activity_feature_031,float64,0,0.008921253,2.806694508,0.7111292195593562,one scalar value per video
scene_activity_feature_032,float64,0,0.051260971,4.374063969,1.3420410723702214,one scalar value per video
scene_activity_feature_033,float64,0,0.034475401,2.761504173,0.763697868863179,one scalar value per video
scene_activity_feature_034,float64,0,0.003715756,3.940816641,0.7069375166016096,one scalar value per video
scene_activity_feature_035,float64,0,0.063036591,5.068415642,1.4661707726498994,one scalar value per video
scene_activity_feature_036,float64,0,0.007479994,3.389613152,0.7276075413319919,one scalar value per video
