,frames_sampled,video_fps,video_duration_seconds,edge_texture_feature_001,edge_texture_feature_002,edge_texture_feature_003,edge_texture_feature_004,edge_texture_feature_005,edge_texture_feature_006,edge_texture_feature_007,edge_texture_feature_008,edge_texture_feature_009,edge_texture_feature_010,edge_texture_feature_011,edge_texture_feature_012,edge_texture_feature_013,edge_texture_feature_014,edge_texture_feature_015,edge_texture_feature_016,edge_texture_feature_017,edge_texture_feature_018,edge_texture_feature_019,edge_texture_feature_020,edge_texture_feature_021,edge_texture_feature_022,edge_texture_feature_023,edge_texture_feature_024,edge_texture_feature_025,edge_texture_feature_026,edge_texture_feature_027,edge_texture_feature_028,edge_texture_feature_029,edge_texture_feature_030,edge_texture_feature_031,edge_texture_feature_032,edge_texture_feature_033,edge_texture_feature_034,edge_texture_feature_035,edge_texture_feature_036,edge_texture_feature_037
frames_sampled,1.0,0.188710701888844,0.9997375097242241,0.02416681675267867,-0.13909017335711188,0.08832685717392545,-0.02933176974808224,-0.20347547088041126,-0.011495805406392251,-0.16936150182145585,0.1569473907620771,0.048260491339925535,0.1391737727647862,-0.07555536004652015,-0.09929245362474944,-0.10706454581207021,-0.12694326339235942,0.006136837732093504,0.260743626265556,0.19579928881322373,-0.21416664514443623,-0.048358843399826566,0.06829356652052287,0.0868768493138445,-0.09843469724972369,-0.07529543821050451,-0.26665058337873393,0.04563641903210801,0.17882700520425937,0.05219769353907351,0.16127805422646457,0.17767599561511546,0.05207115689837756,-0.11766945312047455,0.02595873532129482,-0.07568512080935891,0.0015985349246316323,-0.11659302453812548,0.13741933734796005,-0.2071857185256639
video_fps,0.188710701888844,1.0,0.18610445569828052,0.14896759787961555,-0.05232373348355721,0.14056985331106492,-0.07069777353733102,-0.06037754669445468,-0.08419545196968123,0.036939601295807326,0.11741754659540529,-0.0472919008737762,0.19477343986061016,-0.13354861895870868,-0.1131812737577319,-0.07651708888406061,-0.01823653585908461,-0.0055528904964287475,0.21115405116997313,0.06606911019441464,-0.03940509063023843,0.07523467182469917,0.0908215097149173,0.0779152044019429,0.030763319784021834,-0.029911328887329648,-0.05873654020808924,0.05950907283504661,0.15804099172598687,-0.08266188499244728,0.06386555889965033,0.023357264591704684,-0.11000952683125981,-0.14533615347737863,-0.10363696097597448,-0.0855174594187462,-0.04506701655078504,-0.042130665580415325,0.035501941781837076,-0.22204755929582493
video_duration_seconds,0.9997375097242241,0.18610445569828052,1.0,0.0230770137218298,-0.13489153628826564,0.08859827672538553,-0.02880781556488333,-0.1974461738747539,-0.01159183717511323,-0.16488180760959317,0.15598911859166917,0.047587613516704076,0.13697968461986768,-0.07462086578577751,-0.09664216677480175,-0.105266350674228,-0.12467437348041255,0.004558269990840998,0.256863600157421,0.1928286592804428,-0.20990088766339973,-0.04786250372919121,0.06738538006527645,0.08771852483285443,-0.0977471092901902,-0.07103322040598913,-0.25864579569064916,0.045499583953965105,0.1757898470883697,0.05143335828373931,0.1568560396497122,0.1731910508153509,0.05358773182806434,-0.11610277088831068,0.024833221866215963,-0.0757345284324302,0.0022001495621128456,-0.11395740542654953,0.1351928000004297,-0.20203263643020025
edge_texture_feature_001,0.02416681675267867,0.14896759787961555,0.0230770137218298,1.0,-0.06199110316897324,0.0009769678247973377,0.130427470398623,0.03778067199752554,-0.15633921461149416,0.08160583299476701,0.09077614163978344,0.021194403342815,0.14120422962409196,-0.24095786639132696,0.048778757737883816,-0.08688185693630857,-0.09888533166310841,-0.06644135037898824,-0.0024067341959506426,0.10036559535188115,-0.0694365220133274,-0.06372898460492958,0.23038868586599198,0.12649407878346963,0.04632096205996011,-0.026564559813685475,0.0319188475444282,0.07106056116615576,0.039760854858693004,-0.05659951767342097,0.008360524795047099,-0.07811957294402741,-0.2200255712958231,0.0013803887117688988,-0.02924044617768896,-0.007348922792640214,0.009270145903393857,-0.1483791909233419,-0.09749193205782668,-0.20673376527895984
edge_texture_feature_002,-0.13909017335711188,-0.05232373348355721,-0.13489153628826564,-0.06199110316897324,1.0,0.2288933154206716,0.006517540693504195,0.28506873354374623,0.17061162973904506,0.1801443445323453,-0.08230251505079392,-0.16768056456197974,-0.014730696114363288,0.058548533452645025,0.058763161409847935,-0.008965772352735506,-0.006167553850231048,-0.0294914720168457,-0.11670177887620747,0.26121372491777894,0.023123284970677418,-0.24648318230850194,-0.09888313353585365,-0.12232234514075109,0.16722713702715725,0.0830133518528272,0.36373875968950875,-0.1693408025066988,-0.19614830990759338,0.07551622102887788,-0.16658319580402445,-0.10547585117082203,-0.06731194477591086,0.1711455003354285,-0.07190465743048857,0.1871992136708411,-0.10980601513330925,0.31906573274571204,0.11215033648342759,0.11512544792742953
edge_texture_feature_003,0.08832685717392545,0.14056985331106492,0.08859827672538553,0.0009769678247973377,0.2288933154206716,1.0,-0.1563476145844525,-0.02061158932170959,-0.10701293669262955,0.15005362653836704,0.12416194971425401,-0.13854272788398103,0.3312354202595224,0.05146857336135347,-0.08954243279450418,-0.11372511351078064,-0.09286746632620001,-0.12028852532615371,0.39402995510628763,-0.008006843009682236,0.06235744634506304,-0.003693687322806455,0.1519900023774989,0.026663322202112608,-0.043840155097003626,-0.10734050237774237,0.001128772853951379,0.0026255915862317927,0.19304554734751345,-0.021615459044579212,0.059540222748837,0.03450984983321436,-0.1063881187283984,-0.06443730622126732,-0.08924155042073856,-0.08613409150542722,-0.19631374468286214,-0.012552862343810043,0.10871734311767103,-0.03897571555616159
edge_texture_feature_004,-0.02933176974808224,-0.07069777353733102,-0.02880781556488333,0.130427470398623,0.006517540693504195,-0.1563476145844525,1.0,0.1313393057616411,-0.05248899011132917,-0.04750553695560836,0.002642845104083071,-0.026447719352207997,-0.04499489404948988,-0.03680406961265465,0.1636628954813475,-0.011181406782502134,0.10921055581092984,0.07202894572493906,-0.16629384790394,0.13578419379426435,0.12061066930135003,-0.027154470664771422,-0.020793956057230202,0.00686937240423041,-0.030787635643896822,0.09630740172419558,0.06421676246042088,0.016277476000539845,-0.14902162487874157,0.060243764600284,-0.11740738137725257,0.09737937227145148,0.10200048768888992,0.1464336271114963,0.24516821608039716,0.08518602432365802,0.025095296135646157,0.013438309533351225,-0.029798289656578623,0.05997469780154413
edge_texture_feature_005,-0.20347547088041126,-0.06037754669445468,-0.1974461738747539,0.03778067199752554,0.28506873354374623,-0.02061158932170959,0.1313393057616411,1.0,0.06106933214248712,0.25366594860344543,-0.011373156215231266,-0.222086397558095,-0.04986880207263261,0.13200540577140463,0.10594443324349485,-0.039346042810210764,0.14983554072171826,0.029980315750172716,-0.24098654453933518,-0.04960389896243464,0.18203436305801113,-0.01009128972660684,0.10601587688982654,0.031793228747357946,0.05806739529620037,0.2820595851066515,0.5280034709375608,-0.005914067891822793,-0.1271451151119735,-0.002287566793307233,-0.1793367578793272,-0.201633582491637,0.062075475149985244,0.2309596555232653,-0.08397680278943861,0.2566402562594083,-0.07887923478869074,0.20619242869925042,0.010129561369508407,0.22646056429191902
edge_texture_feature_006,-0.011495805406392251,-0.08419545196968123,-0.01159183717511323,-0.15633921461149416,0.17061162973904506,-0.10701293669262955,-0.05248899011132917,0.06106933214248712,1.0,-0.055644107798789165,-0.10595583220770524,0.12163365061311618,-0.20245157948280734,0.08206446694896422,0.1156191300534594,-0.07931805575151044,-0.029895127175979017,0.17863601282596106,-0.16557976827772314,-0.023501562584093836,-0.0982871153539605,-0.10828769022189488,-0.0624301580489619,-0.14070824451480776,0.18843135539788963,0.20402430498552737,0.014626909270404533,-0.045436797827855535,-0.17852878319416016,0.02656002206059211,0.12217601068041539,0.11403136272918345,0.0734159723403914,0.033600723941212336,0.025720244323676488,0.14263042054534467,-0.015129732385093665,0.0180040062574549,0.023366407456637338,0.2351035566683395
edge_texture_feature_007,-0.16936150182145585,0.036939601295807326,-0.16488180760959317,0.08160583299476701,0.1801443445323453,0.15005362653836704,-0.04750553695560836,0.25366594860344543,-0.055644107798789165,1.0,-0.020689581655141984,-0.09928963453277498,0.08207147988308616,0.0510871839287575,0.050756601857089724,-0.03841154924894307,0.034619024116408575,-0.08666145249879553,0.016743727306423248,-0.03238099062082837,0.1850256524568142,0.2043258908200495,-0.0801879508984702,-0.03139799109973895,-0.027481742153031317,0.22789975542169977,0.3415516190588387,0.2654116419544896,0.09699855060308506,0.00014991770071214226,-0.10307001217030683,-0.10283748211900226,-0.14846829849951024,0.048797220771526345,-0.12773072818888714,-0.02458085511626487,-0.06644672139627478,0.0621788119384877,0.16042857353933968,-0.1017894273095874
