model,test_accuracy,precision,recall,f1_score,roc_auc
4 Svm,0.8467,0.8514,0.84,0.8456,0.9278
10 Stacking Classifier,0.8333,0.8571,0.8,0.8276,0.9148
5 Knn,0.82,0.7857,0.88,0.8302,0.8835
9 Mlp Classifier,0.8133,0.7831,0.8667,0.8228,0.8889
8 Xgboost,0.8067,0.8108,0.8,0.8054,0.8948
1 Logistic,0.8,0.7848,0.8267,0.8052,0.858
3 Random Forest,0.8,0.8169,0.7733,0.7945,0.8866
6 Naive Bayes,0.78,0.7838,0.7733,0.7785,0.8408
7 Adaboost,0.78,0.8,0.7467,0.7724,0.8631
2 Decision Tree,0.7733,0.8254,0.6933,0.7536,0.8012
