component,explained_variance_ratio,cumulative_variance
PC1,0.07281571783097517,0.07281571783097517
PC2,0.06342054923140672,0.1362362670623819
PC3,0.03909856969214172,0.1753348367545236
PC4,0.033030466083321185,0.2083653028378448
PC5,0.030261989923641118,0.23862729276148592
PC6,0.028970614649595033,0.26759790741108097
PC7,0.023747667180106936,0.29134557459118793
PC8,0.023234525936720478,0.3145801005279084
PC9,0.02078470990879399,0.3353648104367024
PC10,0.01950948636758663,0.35487429680428906
PC11,0.016879372694965006,0.37175366949925404
PC12,0.016179853160340315,0.38793352265959435
PC13,0.014909951933299857,0.4028434745928942
PC14,0.014407612755076071,0.4172510873479703
PC15,0.013989631823738701,0.431240719171709
PC16,0.01321873414867371,0.44445945332038267
PC17,0.012740619558983635,0.4572000728793663
PC18,0.012402331217653441,0.46960240409701975
PC19,0.011673513333153548,0.4812759174301733
PC20,0.01121441774941218,0.49249033517958546
