phase,train_accuracy,test_accuracy,precision,recall,f1_score,fit_status,specificity,mcc,roc_auc,pr_auc,log_loss
phase4_visual_svm,0.9971,0.8467,0.8514,0.84,0.8456,cv_review,0.8533,0.6934,0.9278,0.9206,0.3454
phase10_visual_stacking_classifier,1.0,0.8333,0.8571,0.8,0.8276,cv_review,0.8667,0.6682,0.9148,0.9049,0.3798
phase5_visual_knn,0.8674,0.82,0.7857,0.88,0.8302,stable_fit,0.76,0.6447,0.8835,0.8355,1.0613
phase9_visual_mlp_classifier,0.9654,0.8133,0.7831,0.8667,0.8228,cv_review,0.76,0.6303,0.8889,0.8556,0.4474
phase8_visual_xgboost,1.0,0.8067,0.8108,0.8,0.8054,cv_review,0.8133,0.6134,0.8948,0.8612,0.4426
phase1_visual_logistic,1.0,0.8,0.7848,0.8267,0.8052,cv_review,0.7733,0.6009,0.858,0.8228,0.7749
phase3_visual_random_forest,1.0,0.8,0.8169,0.7733,0.7945,cv_review,0.8267,0.6009,0.8866,0.8753,0.4508
phase6_visual_naive_bayes,0.8444,0.78,0.7838,0.7733,0.7785,moderate_gap,0.7867,0.56,0.8408,0.7719,6.1258
phase7_visual_adaboost,1.0,0.78,0.8,0.7467,0.7724,cv_review,0.8133,0.5612,0.8631,0.7997,0.5962
phase2_visual_decision_tree,0.9769,0.7733,0.8254,0.6933,0.7536,cv_review,0.8533,0.5538,0.8012,0.7612,4.9258
