class_name,video_name,relative_path,file_size_mb,opened,fps,frame_count,duration_seconds,width,height,status,review_reasons
safe,safe-100.mp4,Safe (3)\Safe (2)\Safe\safe-100.mp4,75.3,True,29.97,810,27.03,1080,1920,worthy,
safe,safe-101.mp4,Safe (3)\Safe (2)\Safe\safe-101.mp4,57.75,True,30.0,314,10.47,3840,2160,worthy,
safe,safe-102.mp4,Safe (3)\Safe (2)\Safe\safe-102.mp4,45.82,True,30.0,177,5.9,2160,3840,worthy,
safe,safe-103.mp4,Safe (3)\Safe (2)\Safe\safe-103.mp4,18.17,True,30.0,377,12.57,1922,1080,worthy,
safe,safe-104.mp4,Safe (3)\Safe (2)\Safe\safe-104.mp4,17.19,True,30.0,358,11.93,1922,1080,worthy,
safe,safe-105.mp4,Safe (3)\Safe (2)\Safe\safe-105.mp4,25.87,True,30.0,155,5.17,2560,1440,worthy,
safe,safe-106.mp4,Safe (3)\Safe (2)\Safe\safe-106.mp4,96.54,True,30.0,360,12.0,2560,1440,worthy,
safe,safe-107.mp4,Safe (3)\Safe (2)\Safe\safe-107.mp4,212.5,True,59.94,4320,72.07,3840,2160,worthy,
safe,safe-108.mp4,Safe (3)\Safe (2)\Safe\safe-108.mp4,228.57,True,30.0,1583,52.77,1920,1080,worthy,
safe,safe-109.mp4,Safe (3)\Safe (2)\Safe\safe-109.mp4,44.02,True,29.97,285,9.51,3840,2160,worthy,
safe,safe-110.mp4,Safe (3)\Safe (2)\Safe\safe-110.mp4,12.34,True,30.0,494,16.47,1080,1920,worthy,
safe,safe-111.mp4,Safe (3)\Safe (2)\Safe\safe-111.mp4,149.39,True,29.97,969,32.33,2160,3840,worthy,
safe,safe-112.mp4,Safe (3)\Safe (2)\Safe\safe-112.mp4,9.33,True,30.0,171,5.7,1080,1920,worthy,
safe,safe-113.mp4,Safe (3)\Safe (2)\Safe\safe-113.mp4,7.31,True,30.0,230,7.67,1080,1920,worthy,
safe,safe-114.mp4,Safe (3)\Safe (2)\Safe\safe-114.mp4,17.29,True,30.0,322,10.73,1080,1920,worthy,
safe,safe-115.mp4,Safe (3)\Safe (2)\Safe\safe-115.mp4,127.82,True,29.97,1205,40.21,2160,3840,worthy,
safe,safe-116.mp4,Safe (3)\Safe (2)\Safe\safe-116.mp4,32.61,True,60.0,665,11.08,2160,3840,worthy,
safe,safe-117.mp4,Safe (3)\Safe (2)\Safe\safe-117.mp4,22.55,True,23.98,288,12.01,3240,2160,worthy,
safe,safe-118.mp4,Safe (3)\Safe (2)\Safe\safe-118.mp4,26.93,True,29.97,444,14.81,2560,1440,worthy,
safe,safe-119.mp4,Safe (3)\Safe (2)\Safe\safe-119.mp4,310.05,True,59.94,3684,61.46,3840,2160,worthy,
safe,safe-120.mp4,Safe (3)\Safe (2)\Safe\safe-120.mp4,24.27,True,25.0,260,10.4,3840,2160,worthy,
safe,safe-121.mp4,Safe (3)\Safe (2)\Safe\safe-121.mp4,13.33,True,30.0,620,20.67,1080,1920,worthy,
safe,safe-122.mp4,Safe (3)\Safe (2)\Safe\safe-122.mp4,21.22,True,30.0,340,11.33,2160,3840,worthy,
